obs	x	y
88	0.3170597	-0.0730762
89	3.2239357	-0.0025341
90	3.3535948	-0.2324580
91	4.1672049	-0.0705949
92	10.9421385	-0.0391941
93	1.8401620	0.4842622
94	-0.0086104	-0.0476876
95	12.0021217	-0.1340442
96	11.3472986	-0.1834884
97	2.6143594	0.2736949
98	12.1858737	-0.1030882
99	5.5804600	-0.0634311
100	1.1507355	0.2212211
101	6.5190035	-0.0957029
102	11.8378510	-0.1097094
103	3.3178660	0.0790964
104	7.0983730	0.0079671
105	12.2600453	-0.1608053
106	2.7985204	0.1870943
107	2.7950558	0.1482152
108	5.8039227	-0.0897226
109	0.7018394	0.1234669
110	6.9182311	0.1840281
111	9.6261824	0.0503654
112	11.9392495	0.0246618
113	10.5785520	-0.0388997
114	11.1651195	-0.0942871
115	9.2105843	0.1584857
116	1.0686224	0.3210668
117	1.2263897	0.3374324
118	6.8241569	-0.0641538
119	0.6585841	0.0613896
120	4.4927481	-0.1485640
121	1.0231397	0.2210458
122	12.0654127	0.0216323
123	1.4754409	0.5736552
124	8.8861823	0.1367677
125	0.0594330	-0.0465345
126	5.1735069	-0.0296604
127	0.5925307	0.3354629
128	4.5366543	-0.2502374
129	5.6406715	-0.2121549
130	0.0176683	0.0254972
131	-0.1693604	0.0289521
132	6.0408545	-0.1599548
133	11.1676173	-0.2947925
134	9.7321911	0.0625159
135	0.5450667	0.2884962
136	4.7345126	-0.2017283
137	4.2778622	-0.4003967
138	-0.1809481	-0.0447709
139	1.9167764	0.1434938
140	11.9481352	-0.1602536
141	3.5271435	0.0753828
142	11.5888301	-0.0280836
143	7.9528065	0.0936167
144	-0.1364901	-0.0931480
145	12.6877114	0.0847060
146	9.1440425	0.0983069
147	8.4532971	0.1429692
148	1.3937885	0.3839534
149	6.9658917	0.1288216
150	6.9979138	-0.0591120
151	12.6635614	-0.0193874
152	6.6003523	0.2129442
153	4.2731345	0.0134796
154	11.8742392	-0.0232196
155	-0.8603677	-0.2649557
156	1.2557490	0.3087459
157	10.0108950	-0.1685777
158	10.9047138	0.0095444
159	4.3698236	-0.2220772
160	8.5461269	-0.0871998
161	11.0304774	-0.1416045
162	9.4702251	-0.1092047
163	12.9511235	0.1151976
164	0.7922418	0.2044233
165	0.9170074	0.2629149
166	4.4158490	-0.3226600
167	7.2893282	0.1038240
168	-0.6038636	-0.1326717
169	5.0606255	-0.1268962
170	4.1558267	-0.3394929
171	-0.8009053	-0.1308834
172	4.6496925	-0.0523114
173	12.0757421	-0.0623804
174	-0.0149252	-0.0190986
175	12.3869462	-0.0544221
176	7.9273671	0.1138520
177	10.2741293	-0.2112374
178	2.0986770	0.2019423
179	3.8763676	0.0166120
180	4.8078836	-0.1151095
181	1.2361485	0.3580103
182	8.1385906	0.2337818
183	1.0800496	0.4217572
184	4.3553203	-0.2003278
185	4.9042863	-0.1653405
186	6.0498911	-0.0604809
187	6.2361594	-0.1096280
188	9.1268294	-0.0758881
189	11.7467125	0.0658701
190	9.1799664	-0.0006525
191	10.3127092	-0.0538327
192	10.6476088	0.1414329
193	0.6956079	0.0815406
194	0.8123601	0.0193248
195	12.4970180	0.0023970
196	11.9022466	0.0141808
197	11.8125514	-0.2203938
198	0.7722859	0.3075025
199	2.8740510	0.1557530
200	5.9609500	-0.1789211
201	9.3388004	-0.2173152
202	3.0956761	-0.0025191
203	6.8897337	0.1098353
204	0.2062961	-0.0304873
205	1.1075821	0.2121025
206	4.8826071	-0.2635658
207	5.0412632	0.0707773
208	6.9360769	0.2313163
209	5.9374626	-0.0828200
210	6.3765637	0.0652704
211	9.8340743	0.1034808
212	8.6855301	0.2451524
213	5.5025113	-0.1012787
214	0.0004324	-0.1384525
215	4.5071379	-0.2657268
216	12.5185014	-0.1360437
217	4.4194242	-0.2588944
218	3.8677277	-0.1488040
219	0.5690646	0.1017690
220	1.5457834	0.5197230
221	1.2610738	0.4874040
222	4.6070852	-0.2683042
223	9.5276641	0.0537264
224	10.7524139	-0.1634584
225	1.7031876	0.1958499
226	11.3408160	-0.2639894
227	3.7435239	-0.1788447
228	6.2970621	0.0451944
229	10.7172549	-0.0744694
230	12.3041015	0.1442470
231	8.7942423	0.0975141
232	2.3828531	0.0864533
233	4.8675022	-0.2245712
234	8.9604731	0.1500174
235	1.9774676	0.3546437
236	10.0478530	-0.1527716
237	10.3197853	-0.3298991
238	11.7096476	-0.0567311
239	2.8552237	-0.0163490
240	0.4700297	0.0528247
241	11.9329682	-0.0324049
242	12.1517372	0.1406719
243	8.1559507	0.1923393
244	6.1351367	0.1784834
245	4.7481981	-0.1985404
246	2.9912368	0.2601487
247	0.7259114	0.2434430
248	1.0800903	0.4170549
249	5.8140378	0.0235343
250	7.9018538	0.0118402
251	-0.7805949	-0.1616797
252	6.7888374	0.1097600
253	7.5881987	0.0406556
254	12.6585235	0.1042696
255	11.1073352	-0.0689071
256	10.7660434	-0.1362263
257	7.1706882	0.1091485
258	12.7225310	-0.0915823
259	2.6687551	0.0614076
260	6.6186151	-0.1513014
261	2.0182082	0.0942541
262	7.3583866	0.0279348
263	7.3416402	-0.0641359
264	0.9284882	0.1817432
265	-0.9010256	-0.2905927
266	9.8967005	0.0306637
267	1.8575313	0.2717901
268	7.6831766	0.1581732
269	12.7212448	0.1256834
270	10.6799551	-0.1434465
271	10.4775642	0.0212416
272	7.6945714	0.2581356
273	2.3827181	0.1646219
274	11.6080205	-0.0279345
275	6.2070785	0.1792034
276	5.6511717	-0.1142870
277	5.4777709	-0.1570101
278	11.4215108	-0.0459493
279	12.5997167	0.2111713
280	2.5338988	0.1292009
281	1.9255817	0.2854731
282	-0.7762552	-0.4676347
283	3.2694728	-0.1317221
284	10.4706184	-0.0822857
285	4.9537729	-0.3206416
286	11.2212108	-0.0130916
287	7.8807176	-0.0498291
288	7.0905368	0.1289985
289	5.4350113	-0.0772606
290	9.2879516	0.1113568
291	3.9497865	-0.0202700
292	4.3063750	-0.0476606
293	0.1577983	-0.1178850
294	8.8973370	0.0480106
295	3.3953017	0.0057312
296	8.8620859	0.1088316
297	0.7112064	0.1881322
298	2.8766175	0.1247103
299	2.4693428	0.1093464
300	10.7284334	-0.1022490
301	10.9623472	-0.2508368
302	12.4023718	-0.0168262
303	11.6975890	-0.0635046
304	5.1991202	-0.2239703
305	2.5073095	0.1806517
306	0.8980280	0.3429739
307	2.2382580	0.0656968
308	7.0894781	0.2903768
309	6.0108005	-0.2580376
310	12.8826159	0.0443677
311	11.0550790	-0.1222297
312	12.5294030	-0.0101413
313	0.6747647	0.1551405
314	2.9902993	0.0828837
315	7.0512374	0.0740820
316	10.6353909	-0.1744762
317	10.4894834	-0.1896540
318	5.7933347	-0.3990240
319	5.6170212	-0.0422540
320	9.4037220	0.0872367
321	7.2301270	0.0213511
322	-0.2940668	-0.1442786
323	9.4570559	-0.1192496
324	11.2462620	-0.2755635
325	7.5971459	0.0387877
326	5.8096181	-0.1020293
327	3.2973380	0.0904738
328	11.6554382	-0.0644406
329	10.2046716	0.1693743
330	2.5699436	0.1791778
331	10.3511557	0.0799079
332	0.3418358	0.1179717
333	3.1652485	0.1688838
334	8.6253005	0.0959127
335	-0.9205789	-0.2969743
336	12.7554735	-0.0005990
337	4.0072911	-0.1027672
338	7.9322856	0.0675460
339	10.1845629	0.0929341
340	1.7537884	0.3561827
341	0.1021189	-0.0220889
342	0.9945236	0.3002642
343	7.7591312	0.3694359
344	8.3142314	0.0482861
345	10.9181808	0.0448847
346	11.6097344	-0.0637715
347	7.1878822	0.0578047
348	12.2609484	-0.1004327
349	5.9375791	0.0476129
350	0.0382840	0.0225279
351	7.3795029	0.0828103
352	12.6357533	0.0290459
353	10.6556208	-0.0827569
354	9.2171513	-0.0006494
355	11.9845744	-0.0663556
356	8.8140022	0.1023558
357	-0.4922220	-0.0872574
358	12.3595637	-0.0784281
359	10.1568776	-0.1941210
360	8.5196612	-0.0217074
361	5.1081604	-0.0665976
362	11.0830497	-0.1347865
363	0.0558181	-0.0163280
364	7.7400210	0.3115485
365	7.3636934	0.2067974
366	10.5475793	-0.0928135
367	10.9633408	-0.1371221
368	8.2357352	0.2115887
369	7.6826844	0.1242999
370	9.9984796	-0.1206675
371	0.4271930	0.0909552
372	6.6365340	0.0387594
373	3.9959573	-0.2551376
374	2.3583530	0.1985566
375	9.4169207	-0.1322635
376	2.6929808	-0.0315521
377	3.1649397	-0.0906190
378	6.4812858	-0.0443892
379	8.6149284	0.0752478
380	3.2048798	0.0206852
381	11.8121596	0.0023152
382	6.7572949	0.3289739
383	5.6538040	-0.1438674
384	1.4667256	0.2736668
385	10.4687934	0.0562567
386	-0.8455402	-0.2761540
387	10.1359122	-0.2338182
388	12.5915056	-0.0032923
389	5.0250719	0.0758196
390	12.8342743	0.0506818
391	10.2243398	-0.3217589
392	1.2971394	0.2678739
393	9.9611374	-0.1572712
394	11.4789669	0.0010785
395	8.7915243	0.0430694
396	7.4887315	0.1205736
397	10.3999501	0.1251386
398	9.8632083	-0.0003283
399	10.4400849	-0.0822980
400	6.4167894	-0.0281890
401	1.7891373	0.1462375
402	6.4228760	-0.0939602
403	0.4937108	0.2267870
404	8.3542302	0.1159919
405	3.3249075	-0.0533188
406	10.7935204	-0.1372497
407	2.0650845	0.2190027
408	10.9607031	-0.1428394
409	6.1314561	0.0197572
410	-0.0807243	0.1153317
411	0.5774770	0.1794694
412	6.5559864	0.0173752
413	0.9324015	0.3162377
414	7.5313314	0.1735050
415	2.7523100	-0.0318191
416	-0.7146048	-0.2454324
417	6.2197031	0.0318018
418	11.7479510	-0.2174009
419	9.0754165	0.1766672
420	5.3562154	-0.0065417
421	7.0453233	0.1234705
422	-0.3172791	-0.0520402
423	11.3535791	-0.0432480
424	-0.8557500	-0.1510462
425	9.4882794	0.0063028
426	8.5788338	0.3477663
427	1.2784212	0.4459699
428	3.0725596	-0.0357819
429	5.2023034	-0.2401099
430	5.8721174	-0.0465555
431	11.2976502	-0.0498573
432	2.7258211	0.1419282
433	5.9369240	-0.0132552
434	10.8784458	-0.0859866
435	6.6522856	0.0399651
436	-0.1801349	-0.1916731
437	2.2244153	0.2091210
438	1.0990077	0.4626023
439	0.2222912	0.2267369
440	2.7271077	0.1231209
441	7.5108282	0.1133530
442	5.7175533	-0.1743628
443	5.3574992	-0.1671841
444	7.2446763	0.1664110
445	11.0637969	-0.0172690
446	0.8621863	0.0003836
447	6.1312710	-0.0214105
448	1.2042242	0.4448419
449	4.4544070	-0.0716455
450	6.6530507	0.0655745
451	8.8548466	0.0703376
452	-0.2069014	-0.1430612
453	12.2923701	-0.0578810
454	3.0522397	0.2091221
455	0.9057500	0.3184993
456	10.2274240	-0.0240415
457	8.7477178	0.1102745
458	4.8737989	-0.1964857
459	10.7081513	-0.0486025
460	2.3316891	0.2596069
461	5.0833111	-0.1162096
462	6.8918835	0.2566871
463	5.6539317	-0.0323060
464	3.5018688	-0.1279002
465	5.1471442	-0.1020871
466	-0.4722883	-0.1439614
467	4.4963230	-0.2033353
468	3.2913896	-0.0585605
469	6.2190979	-0.1254065
470	9.6392427	0.0764592
471	4.9662201	-0.2413054
472	11.2179340	-0.1844638
473	9.8606304	-0.0458779
474	8.3739528	0.2657395
475	12.0344909	0.0387603
476	8.5883447	0.2496706
477	4.0065137	-0.2958981
478	1.5508658	0.2147258
479	-0.1451343	0.0265618
480	4.5796052	-0.2750968
481	6.0517257	-0.0131546
482	3.2001794	0.0394607
483	6.3049338	0.1645861
484	2.4512558	0.1294051
485	1.2630863	0.2474322
486	0.3849567	0.1265459
487	7.6546555	-0.0521368
488	9.9355563	-0.0513829
489	0.8383813	0.2870693
490	1.6850232	0.1547217
491	9.7470434	-0.0979707
492	11.5997111	-0.1680163
493	-0.7919343	-0.2092971
494	5.1803725	0.0078720
495	12.4789052	0.2019789
496	1.6240533	0.3311807
497	7.9813684	0.0894977
498	9.6513248	-0.0405382
499	7.0201866	0.0323819
500	1.0704131	0.2067581
